visitorid,total_views,total_addtocart,total_transactions,cluster
172,33,3,2,0
186,2,1,1,0
264,3,2,2,0
419,4,1,1,0
539,4,2,1,0
627,17,1,1,0
795,14,1,1,0
914,1,1,1,0
964,6,1,1,0
1032,5,1,1,0
1636,2,0,1,0
1765,11,2,1,0
2019,27,3,2,0
2133,1,1,1,0
2216,3,1,1,0
2242,17,1,1,0
2468,2,1,1,0
2519,14,1,1,0
2598,2,2,1,0
2646,7,1,1,0
2807,4,0,1,0
3048,0,1,1,0
3104,44,2,2,0
3171,2,1,1,0
3174,3,1,1,0
3251,1,1,1,0
3258,18,6,2,0
3404,6,1,1,0
3465,2,3,3,0
3581,1,1,1,0
3847,3,1,1,0
3896,1,1,1,0
3926,8,3,3,0
3936,14,2,1,0
4061,2,1,1,0
4101,18,4,4,0
4113,15,1,1,0
4115,4,3,1,0
4241,1,1,1,0
4368,8,1,1,0
4537,5,3,2,0
4606,3,2,2,0
4694,2,2,2,0
4899,4,1,1,0
5042,7,3,3,0
5061,1,1,1,0
5117,9,1,1,0
5207,10,1,1,0
5423,1,1,1,0
5703,6,2,2,0
5939,2,1,1,0
6029,27,1,1,0
6190,1,1,1,0
6265,0,0,1,0
6390,0,2,1,0
6431,2,1,1,0
6468,10,4,4,0
6618,2,1,1,0
6699,92,8,4,0
6750,7,1,1,0
6855,2,1,1,0
6911,1,1,1,0
6952,8,3,3,0
6955,1,1,1,0
6958,77,185,4,3
7016,5,2,2,0
7244,1,2,1,0
7330,3,1,1,0
7633,4,1,1,0
7773,1,0,1,0
7969,15,1,1,0
8043,6,2,2,0
8083,6,1,1,0
8314,1,0,1,0
8411,7,2,2,0
8516,7,1,1,0
8670,10,1,1,0
8731,5,2,2,0
8876,1,1,1,0
8914,35,2,1,0
9079,4,2,2,0
9099,4,1,1,0
9145,11,9,3,0
9155,0,2,1,0
9235,1,0,1,0
9498,4,1,1,0
9519,1,1,1,0
10023,7,2,2,0
10248,1,1,1,0
10443,1,1,1,0
10539,7,1,1,0
10560,3,0,1,0
10685,1,1,1,0
11172,4,1,1,0
11209,13,5,4,0
11248,6,4,3,0
11287,2,1,1,0
11333,47,3,2,0
11438,2,1,1,0
11462,18,1,1,0
11508,4,1,1,0
12046,2,10,1,0
12067,4,0,1,0
12134,0,1,1,0
12148,25,3,3,0
12295,3,1,1,0
12356,60,1,1,0
12506,3,2,2,0
12579,140,23,2,0
13151,4,3,3,0
13240,1,1,1,0
13455,13,3,3,0
13764,3,1,1,0
13833,11,3,3,0
14618,2,1,1,0
14796,2,2,1,0
14885,4,1,1,0
14903,3,1,1,0
15218,1,0,1,0
15299,4,1,1,0
15318,1,1,1,0
15653,15,2,2,0
15852,1,1,1,0
16158,3,1,1,0
16357,3,1,1,0
16655,7,2,2,0
16766,1,1,1,0
16945,1,1,1,0
16975,1,1,1,0
17028,15,1,1,0
17067,5,1,1,0
17476,20,12,7,0
17569,1,1,1,0
17591,11,2,2,0
17629,6,3,2,0
17676,179,53,42,3
17746,2,1,1,0
17800,2,1,1,0
17857,10,1,1,0
17970,4,1,1,0
18024,15,0,1,0
18029,1,1,1,0
18032,1,1,1,0
18060,7,2,1,0
18195,2,2,1,0
18197,10,2,1,0
18424,21,4,2,0
18573,19,3,3,0
18688,2,1,1,0
19052,4,1,1,0
19206,2,2,1,0
19268,2,1,1,0
19500,0,1,1,0
19506,15,2,1,0
19512,1,0,1,0
19832,17,1,1,0
19967,29,1,1,0
20099,8,0,1,0
20167,4,2,1,0
20389,3,1,1,0
20815,2,1,1,0
20984,6,1,1,0
21048,2,1,1,0
21070,5,1,1,0
21079,1,1,1,0
21302,3,1,1,0
21574,8,1,1,0
21610,21,6,3,0
21712,37,15,6,0
21976,9,1,1,0
22079,2,1,1,0
22090,2,1,1,0
22276,8,1,1,0
22596,1,1,1,0
22666,4,1,1,0
22778,6,3,1,0
22944,4,1,1,0
22990,33,14,11,0
22998,12,1,1,0
23076,29,4,2,0
23497,3,1,1,0
23645,1,1,1,0
23730,2,1,1,0
23964,0,1,1,0
24067,2,1,2,0
24142,1,1,1,0
24166,1,1,1,0
24409,11,2,2,0
24644,22,2,1,0
24662,1,1,1,0
24688,7,1,1,0
24722,16,3,3,0
24840,18,9,1,0
25040,1,1,1,0
25081,1,1,1,0
25094,1,1,1,0
25156,21,3,2,0
25481,2,1,1,0
25809,5,2,1,0
25896,3,2,2,0
25922,45,3,2,0
26032,2,1,1,0
26189,11,1,1,0
26533,5,3,3,0
26626,8,3,1,0
26761,6,1,1,0
26872,3,1,1,0
26923,4,1,1,0
27197,2,1,1,0
27326,27,1,1,0
27360,20,1,1,0
27695,21,3,3,0
27851,8,4,4,0
28085,1,1,1,0
28161,5,1,1,0
28308,3,1,1,0
28387,21,1,1,0
28524,1,1,1,0
28791,2,1,1,0
28797,2,1,1,0
28896,3,1,1,0
29529,6,1,1,0
29531,3,1,1,0
29659,6,0,1,0
29744,8,5,2,0
29757,18,5,1,0
29802,38,3,3,0
29835,1,1,1,0
30374,3,1,2,0
30438,3,1,1,0
30633,9,1,1,0
30687,2,0,1,0
30812,1,0,1,0
30824,10,0,1,0
31149,3,1,1,0
31236,3,1,1,0
31314,18,1,1,0
31359,2,1,1,0
31557,4,1,1,0
31613,15,1,1,0
31645,40,10,3,0
31677,1,1,1,0
31741,0,2,2,0
31798,4,2,2,0
31843,1,1,1,0
31874,5,0,1,0
31929,4,2,1,0
31936,4,1,1,0
32119,2,1,1,0
32160,5,2,2,0
32358,15,3,1,0
32378,18,2,2,0
32432,18,0,1,0
32596,8,1,1,0
32787,2,2,2,0
32895,8,2,2,0
32904,12,1,1,0
33196,7,3,3,0
33308,1,1,1,0
33350,7,1,1,0
33571,2,1,1,0
33608,1,1,1,0
33717,1,1,1,0
33889,15,2,1,0
33895,1,1,1,0
33946,6,2,2,0
34059,10,1,1,0
34157,2,1,1,0
34200,2,1,1,0
34381,4,1,1,0
34519,6,2,2,0
34570,30,1,1,0
34598,6,2,2,0
34630,2,1,1,0
34648,1,1,1,0
34665,28,1,2,0
34667,4,2,1,0
34705,4,1,1,0
34825,1,1,1,0
34850,1,1,1,0
34923,3,1,1,0
34951,5,4,4,0
34955,6,1,1,0
35112,3,1,1,0
35157,1,1,1,0
35186,4,1,1,0
35339,51,4,1,0
35623,5,4,4,0
36007,6,1,1,0
36250,7,1,1,0
36310,2,1,1,0
36450,8,1,1,0
36502,11,3,3,0
36640,1,1,1,0
36682,4,1,1,0
36707,4,3,1,0
36866,8,2,2,0
36989,2,1,1,0
37093,25,3,1,0
37183,1,1,1,0
37191,1,1,1,0
37288,4,1,1,0
37382,9,1,1,0
37574,1,1,1,0
37845,2,1,1,0
37972,2,2,1,0
38015,852,7,2,3
38102,7,2,1,0
38103,10,8,7,0
38245,1,0,1,0
38711,3,3,2,0
38878,2,1,1,0
39203,12,1,1,0
39272,3,1,1,0
39467,0,1,1,0
39480,11,4,4,0
39706,4,1,1,0
39985,1,2,1,0
40024,0,2,1,0
40050,15,1,1,0
40175,9,1,1,0
40251,2,1,1,0
40353,10,1,1,0
40618,2,0,1,0
40802,13,2,1,0
40879,1,1,1,0
41016,16,0,1,0
41098,1,1,1,0
41278,6,1,1,0
41386,2,1,1,0
41416,0,0,1,0
41529,4,2,1,0
41903,6,1,1,0
42011,4,1,1,0
42040,4,1,1,0
42059,2,1,1,0
42168,1,1,1,0
42192,1,1,1,0
42261,1,1,1,0
42326,3,1,1,0
42435,13,2,1,0
42552,129,16,13,0
42669,1,0,1,0
42857,3,0,1,0
42942,40,1,1,0
43176,14,2,2,0
43354,24,1,1,0
43393,4,2,1,0
43605,2,1,1,0
43643,8,1,1,0
43687,1,1,1,0
43770,4,1,1,0
43775,3,3,1,0
43804,1,1,1,0
44326,1,1,1,0
44566,2,0,1,0
44880,9,2,2,0
44885,2,1,1,0
45018,96,3,2,0
45113,2,1,1,0
45183,8,1,1,0
45270,11,1,1,0
45512,3,1,1,0
45825,7,2,2,0
45870,4,2,2,0
45969,4,1,1,0
46167,4,1,2,0
46535,94,11,4,0
46568,1,1,1,0
46748,7,0,1,0
46805,12,3,1,0
46841,5,1,1,0
47004,2,1,1,0
47029,1,1,2,0
47153,2,0,1,0
47197,8,1,1,0
47433,4,2,1,0
47467,4,1,1,0
47582,3,1,1,0
47803,28,8,2,0
48168,9,0,1,0
48245,5,1,1,0
48703,1,1,1,0
48728,1,1,3,0
48768,2,0,1,0
48820,88,59,34,3
48896,1,1,1,0
49120,2,1,1,0
49158,36,1,1,0
49266,5,0,1,0
49275,1,1,1,0
49347,5,1,1,0
49384,9,1,1,0
50340,2,1,1,0
50467,7,2,1,0
50555,4,1,1,0
50687,2,1,1,0
50847,4,1,1,0
50921,30,2,2,0
51304,0,1,1,0
51591,2,1,1,0
51595,7,2,2,0
51613,1,1,1,0
51670,7,1,1,0
51676,1,0,1,0
51831,8,2,2,0
51951,3,1,1,0
52108,4,0,1,0
52183,4,1,1,0
52305,1,0,1,0
52363,28,1,1,0
52406,1,1,1,0
52452,4,1,1,0
52484,1,1,1,0
52493,2,1,1,0
52674,3,1,1,0
52701,9,1,1,0
52860,1,1,1,0
52940,3,2,1,0
52967,10,1,1,0
53051,4,4,3,0
53164,3,2,2,0
53181,3,1,1,0
53691,1,1,1,0
53842,729,69,64,3
53925,4,1,1,0
53982,27,5,2,0
54002,4,1,1,0
54007,6,1,1,0
54011,2,1,1,0
54017,2,0,1,0
54032,1,0,1,0
54121,1,1,1,0
54210,3,1,1,0
54493,1,2,2,0
54524,10,3,3,0
54535,24,5,4,0
54639,7,5,1,0
54672,5,1,1,0
54845,1,1,1,0
54958,4,2,1,0
54960,0,1,1,0
55018,4,1,1,0
55023,9,1,1,0
55135,2,1,1,0
55270,14,1,1,0
55389,193,13,7,0
55599,2,2,1,0
55609,1,1,1,0
55697,3,1,1,0
55838,23,2,4,0
55843,2,1,1,0
55897,8,1,1,0
56096,1,0,1,0
56203,0,1,1,0
56312,3,1,1,0
56332,5,1,1,0
56541,5,2,1,0
56645,13,1,1,0
56745,4,1,1,0
56775,31,2,2,0
56971,7,1,1,0
57006,0,1,1,0
57088,7,1,1,0
57111,5,2,1,0
57246,7,0,1,0
57499,4,1,1,0
57559,1,1,1,0
57739,1,1,1,0
57905,636,52,44,3
57925,1,1,1,0
57929,5,0,1,0
58013,2,1,1,0
58024,14,0,2,0
58074,15,1,1,0
58597,16,2,2,0
58730,7,2,1,0
58740,6,1,1,0
58970,3,1,1,0
59209,9,1,1,0
59291,14,1,2,0
59399,2,1,1,0
59604,1,1,1,0
59776,3,1,1,0
59784,6,3,1,0
59803,1,1,1,0
